vendor_name,total_value,n_contracts
Irving Shipbuilding Inc.,51928782386.13,26
VANCOUVER SHIPYARDS CO LTD,25861291179.41,150
SkyAlyne Canada Limited Partnership,22438741292.0,2
I.M.P Group Limited,16896377990.48,9
MDA SYSTEMS LTD.,15859632511.68,166
General Dynamics Land Systems - Canada Corporation,14583076331.8,68
L-3 Communications MAS (Canada) Inc.,13308260370.0,104
"MACDONALD, DETTWILER & ASSOCIATES LTD.",12558816608.4,27
Lockheed Martin Canada Inc.,12029046347.62,106
Vancouver Shipyards Co.,11746317295.16,24
